127.0.0.1 - - [02/Jul/2020:12:53:37 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [02/Jul/2020:12:57:06 +0900] "GET /web/index HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [02/Jul/2020:12:57:06 +0900] "GET /web/resources/css/template.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:12:57:06 +0900] "GET /web/resources/images/dgu.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:12:57:06 +0900] "GET /web/resources/images/babyele.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:12:57:07 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:11:44 +0900] "GET /web/login_form HTTP/1.1" 200 3558
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:11:50 +0900] "POST /web/login_ok HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:11:52 +0900] "GET /web/index HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:12:02 +0900] "GET /web/blistall HTTP/1.1" 200 9722
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:12:20 +0900] "GET /web/blistall?page=2 HTTP/1.1" 200 7982
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:12:22 +0900] "GET /web/blistall?page=1 HTTP/1.1" 200 9722
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:12:24 +0900] "GET /web/index HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:12:26 +0900] "GET /web/logout HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:12:27 +0900] "GET /web/index HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:12:28 +0900] "GET /web/login_form HTTP/1.1" 200 3558
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:12:33 +0900] "POST /web/login_ok HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:12:34 +0900] "GET /web/index HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:12:39 +0900] "GET /web/purchase HTTP/1.1" 200 3695
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:13:07 +0900] "POST /web/purchase_ok HTTP/1.1" 200 231
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:13:10 +0900] "GET /web/index HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:13:14 +0900] "GET /web/blistall HTTP/1.1" 200 9722
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:13:19 +0900] "GET /web/index HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:13:22 +0900] "GET /web/logout HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:13:23 +0900] "GET /web/index HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:13:25 +0900] "GET /web/login_form HTTP/1.1" 200 3558
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:13:32 +0900] "POST /web/login_ok HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:13:34 +0900] "GET /web/index HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:13:36 +0900] "GET /web/blistall HTTP/1.1" 200 9722
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:13:39 +0900] "GET /web/mypage HTTP/1.1" 200 4451
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:13:49 +0900] "GET /web/logout HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:13:50 +0900] "GET /web/index HTTP/1.1" 200 3082
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:13:51 +0900] "GET /web/login_form HTTP/1.1" 200 3558
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:13:55 +0900] "POST /web/login_ok HTTP/1.1" 200 261
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:13:56 +0900] "GET /web/index HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:13:57 +0900] "GET /web/mypage HTTP/1.1" 200 5143
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:14:17 +0900] "POST /web/purchase_ok HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:14:21 +0900] "GET /web/index HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:14:32 +0900] "GET /web/blistall HTTP/1.1" 200 10640
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:14:49 +0900] "POST /web/upload_ok HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:14:50 +0900] "GET /web/blistall HTTP/1.1" 200 10598
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:15:01 +0900] "GET /web/downloadFile?fname=city.jpg HTTP/1.1" 500 1169801
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:15:24 +0900] "POST /web/blockchain HTTP/1.1" 200 6254
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:35:15 +0900] "GET /web/index HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [02/Jul/2020:13:35:17 +0900] "GET /web/mypage HTTP/1.1" 200 4470
